,respondent,card,category,categoryId,categoryStandardized,order,variant
114,7,Fans,General Household Appliances,14,Home/Household,10,E50
115,7,Freezers,Kitchen Appliances,15,Kitchen,1,E50
116,7,Fridges,Kitchen Appliances,15,Kitchen,10,E50
117,7,Gaming Consoles,Entertainment/Electronics,16,Entertainment,7,E50
118,7,Graphic Cards,Misc.,17,Misc/Other,5,E50
119,7,Hair Dryers,General Household Appliances,14,Home/Household,6,E50
120,7,Headphones,Entertainment/Electronics,16,Entertainment,1,E50
121,7,Hobs,Kitchen Appliances,15,Kitchen,3,E50
122,7,Irons,General Household Appliances,14,Home/Household,4,E50
123,7,Juicers,General Household Appliances,14,Home/Household,2,E50
124,7,Keyboards,Entertainment/Electronics,16,Entertainment,14,E50
125,7,Kitchen Scales,Kitchen Appliances,15,Kitchen,9,E50
126,7,Laptops,Entertainment/Electronics,16,Entertainment,10,E50
127,7,Microphones,Entertainment/Electronics,16,Entertainment,11,E50
128,7,Microwave Ovens,Kitchen Appliances,15,Kitchen,5,E50
129,7,Monitors,Entertainment/Electronics,16,Entertainment,9,E50
130,7,Musical Instruments,Entertainment/Electronics,16,Entertainment,3,E50
131,7,Ovens,Kitchen Appliances,15,Kitchen,2,E50
132,7,PC Games,Entertainment/Electronics,16,Entertainment,13,E50
133,7,Phone Cases,Misc.,17,Misc/Other,1,E50
134,7,Printers,Entertainment/Electronics,16,Entertainment,12,E50
135,7,Processors,Misc.,17,Misc/Other,2,E50
136,7,Radiators,General Household Appliances,14,Home/Household,11,E50
137,7,Radios,Entertainment/Electronics,16,Entertainment,6,E50
138,7,Scanners,Entertainment/Electronics,16,Entertainment,8,E50
139,7,Shavers,General Household Appliances,14,Home/Household,8,E50
140,7,Smart Watches,Entertainment/Electronics,16,Entertainment,18,E50
141,7,Smartphones,Misc.,17,Misc/Other,6,E50
142,7,Speakers,Entertainment/Electronics,16,Entertainment,16,E50
143,7,Stand Mixers,Kitchen Appliances,15,Kitchen,11,E50
144,7,Tablets,Entertainment/Electronics,16,Entertainment,17,E50
145,7,Televisions,Entertainment/Electronics,16,Entertainment,20,E50
146,7,Trimmers,General Household Appliances,14,Home/Household,9,E50
147,7,Vacuum Cleaners,General Household Appliances,14,Home/Household,1,E50
148,7,VR Headsets,Entertainment/Electronics,16,Entertainment,19,E50
149,7,Washing Machines,General Household Appliances,14,Home/Household,12,E50
150,8,Air Conditioners,Body Care,23,Care,2,E50
151,8,Air Purifiers,Electronics,22,Electronics,16,E50
152,8,Cameras,Electronics,22,Electronics,23,E50
153,8,Chargers,Electronics,22,Electronics,4,E50
154,8,Coffee Makers,Kitchen Equipment,18,Kitchen,3,E50
155,8,Computer Mice,Electronics,22,Electronics,3,E50
156,8,Cookers,Kitchen Equipment,18,Kitchen,2,E50
157,8,Deep Fryers,Kitchen Equipment,18,Kitchen,9,E50
158,8,Desktop Computers,Electronics,22,Electronics,14,E50
159,8,Dishwashers,Kitchen Electronics,24,Kitchen,3,E50
160,8,Drones,Electronics,22,Electronics,9,E50
161,8,E-Readers,Electronics,22,Electronics,2,E50
162,8,Electric Kettles,Kitchen Equipment,18,Kitchen,8,E50
163,8,Electric Toothbrushes,Hygiene,21,Hygiene,1,E50
164,8,Fans,Electronics,22,Electronics,6,E50
165,8,Freezers,Kitchen Electronics,24,Kitchen,2,E50
166,8,Fridges,Kitchen Electronics,24,Kitchen,1,E50
167,8,Gaming Consoles,Electronics,22,Electronics,12,E50
168,8,Graphic Cards,Electronics,22,Electronics,7,E50
169,8,Hair Dryers,Body Care,23,Care,1,E50
170,8,Headphones,Electronics,22,Electronics,27,E50
171,8,Hobs,Extra,26,Misc/Other,1,E50
172,8,Irons,Electronics,22,Electronics,21,E50
173,8,Juicers,Kitchen Equipment,18,Kitchen,6,E50
174,8,Keyboards,Electronics,22,Electronics,8,E50
175,8,Kitchen Scales,Kitchen Equipment,18,Kitchen,1,E50
176,8,Laptops,Electronics,22,Electronics,22,E50
177,8,Microphones,Electronics,22,Electronics,11,E50
178,8,Microwave Ovens,Kitchen Equipment,18,Kitchen,4,E50
179,8,Monitors,Electronics,22,Electronics,26,E50
180,8,Musical Instruments,Electronics,22,Electronics,25,E50
181,8,Ovens,Kitchen Equipment,18,Kitchen,5,E50
182,8,PC Games,Electronics,22,Electronics,18,E50
183,8,Phone Cases,Electronics,22,Electronics,1,E50
184,8,Printers,Electronics,22,Electronics,10,E50
185,8,Processors,Mechanical Devices,25,Mechanical Devices,1,E50
186,8,Radiators,Mechanical Devices,25,Mechanical Devices,2,E50
187,8,Radios,Sound,19,Audio,3,E50
188,8,Scanners,Electronics,22,Electronics,24,E50
189,8,Shavers,Electronics,22,Electronics,5,E50
190,8,Smart Watches,Kitchen Equipment,18,Kitchen,7,E50
191,8,Smartphones,Electronics,22,Electronics,17,E50
192,8,Speakers,Sound,19,Audio,1,E50
193,8,Stand Mixers,Sound,19,Audio,2,E50
194,8,Tablets,Electronics,22,Electronics,13,E50
195,8,Televisions,Electronics,22,Electronics,15,E50
196,8,Trimmers,Electronics,22,Electronics,20,E50
197,8,Vacuum Cleaners,Cleaning,20,Cleaning,2,E50
198,8,VR Headsets,Electronics,22,Electronics,19,E50
199,8,Washing Machines,Cleaning,20,Cleaning,1,E50
200,10,Air Conditioners,environment maintainers,31,Air Heating & Cooling,2,E50
201,10,Air Purifiers,environment maintainers,31,Air Heating & Cooling,1,E50
202,10,Cameras,electronics,28,Electronics,9,E50
203,10,Chargers,electronics,28,Electronics,4,E50
204,10,Coffee Makers,office appliances,32,Office,2,E50
205,10,Computer Mice,electronics,28,Electronics,3,E50
206,10,Cookers,kitchen appliance,27,Kitchen,1,E50
207,10,Deep Fryers,kitchen appliance,27,Kitchen,6,E50
208,10,Desktop Computers,electronics,28,Electronics,15,E50
209,10,Dishwashers,kitchen appliance,27,Kitchen,4,E50
210,10,Drones,electronics,28,Electronics,2,E50
211,10,E-Readers,electronics,28,Electronics,12,E50
212,10,Electric Kettles,kitchen appliance,27,Kitchen,8,E50
213,10,Electric Toothbrushes,hygiene,29,Hygiene,3,E50
214,10,Fans,environment maintainers,31,Air Heating & Cooling,5,E50
215,10,Freezers,kitchen appliance,27,Kitchen,11,E50
216,10,Fridges,kitchen appliance,27,Kitchen,7,E50
217,10,Gaming Consoles,electronics,28,Electronics,7,E50
218,10,Graphic Cards,PC components,30,Computers & Accessories,3,E50
219,10,Hair Dryers,hygiene,29,Hygiene,2,E50
220,10,Headphones,PC components,30,Computers & Accessories,5,E50
221,10,Hobs,kitchen appliance,27,Kitchen,10,E50
222,10,Irons,hygiene,29,Hygiene,5,E50
223,10,Juicers,kitchen appliance,27,Kitchen,9,E50
224,10,Keyboards,electronics,28,Electronics,10,E50
225,10,Kitchen Scales,kitchen appliance,27,Kitchen,13,E50
226,10,Laptops,electronics,28,Electronics,13,E50
227,10,Microphones,electronics,28,Electronics,8,E50
228,10,Microwave Ovens,kitchen appliance,27,Kitchen,2,E50
229,10,Monitors,PC components,30,Computers & Accessories,4,E50
230,10,Musical Instruments,miscellaneous,33,Misc/Other,1,E50
231,10,Ovens,kitchen appliance,27,Kitchen,5,E50
232,10,PC Games,PC components,30,Computers & Accessories,2,E50
233,10,Phone Cases,electronics,28,Electronics,5,E50
234,10,Printers,office appliances,32,Office,3,E50
235,10,Processors,PC components,30,Computers & Accessories,1,E50
236,10,Radiators,environment maintainers,31,Air Heating & Cooling,3,E50
237,10,Radios,electronics,28,Electronics,6,E50
238,10,Scanners,office appliances,32,Office,1,E50
239,10,Shavers,hygiene,29,Hygiene,4,E50
240,10,Smart Watches,electronics,28,Electronics,18,E50
241,10,Smartphones,electronics,28,Electronics,1,E50
242,10,Speakers,electronics,28,Electronics,14,E50
243,10,Stand Mixers,kitchen appliance,27,Kitchen,3,E50
244,10,Tablets,electronics,28,Electronics,17,E50
245,10,Televisions,electronics,28,Electronics,16,E50
246,10,Trimmers,hygiene,29,Hygiene,1,E50
247,10,Vacuum Cleaners,environment maintainers,31,Air Heating & Cooling,4,E50
248,10,VR Headsets,electronics,28,Electronics,11,E50
249,10,Washing Machines,kitchen appliance,27,Kitchen,12,E50
250,11,Air Conditioners,House Machines,40,Home/Household,4,E50
251,11,Air Purifiers,Other Handy Equipment,37,Misc/Other,3,E50
252,11,Cameras,Gadgets,34,Gadgets,18,E50
253,11,Chargers,Gadgets,34,Gadgets,6,E50
254,11,Coffee Makers,Kitchen Machines,39,Kitchen,6,E50
255,11,Computer Mice,Gadgets,34,Gadgets,15,E50
256,11,Cookers,Kitchen Machines,39,Kitchen,1,E50
257,11,Deep Fryers,Kitchen Machines,39,Kitchen,10,E50
258,11,Desktop Computers,Gadgets,34,Gadgets,11,E50
259,11,Dishwashers,Kitchen Machines,39,Kitchen,11,E50
260,11,Drones,Gadgets,34,Gadgets,9,E50
261,11,E-Readers,Other Handy Equipment,37,Misc/Other,4,E50
262,11,Electric Kettles,Kitchen Machines,39,Kitchen,3,E50
263,11,Electric Toothbrushes,Self Care Equipments,36,Care,2,E50
264,11,Fans,Other Handy Equipment,37,Misc/Other,1,E50
265,11,Freezers,House Machines,40,Home/Household,6,E50
266,11,Fridges,House Machines,40,Home/Household,2,E50
267,11,Gaming Consoles,Gadgets,34,Gadgets,14,E50
268,11,Graphic Cards,Gadgets,34,Gadgets,16,E50
269,11,Hair Dryers,Other Handy Equipment,37,Misc/Other,5,E50
270,11,Headphones,Gadgets,34,Gadgets,2,E50
271,11,Hobs,Kitchen Machines,39,Kitchen,5,E50
272,11,Irons,Kitchen Machines,39,Kitchen,9,E50
273,11,Juicers,Kitchen Machines,39,Kitchen,2,E50
274,11,Keyboards,Gadgets,34,Gadgets,4,E50
275,11,Kitchen Scales,Kitchen Machines,39,Kitchen,8,E50
276,11,Laptops,Gadgets,34,Gadgets,3,E50
277,11,Microphones,Gadgets,34,Gadgets,10,E50
278,11,Microwave Ovens,Kitchen Machines,39,Kitchen,4,E50
279,11,Monitors,Gadgets,34,Gadgets,17,E50
280,11,Musical Instruments,Music,38,Music,1,E50
281,11,Ovens,Kitchen Machines,39,Kitchen,7,E50
282,11,PC Games,Gadgets,34,Gadgets,20,E50
283,11,Phone Cases,Gadgets,34,Gadgets,8,E50
284,11,Printers,Office Equipment,35,Office,3,E50
285,11,Processors,Gadgets,34,Gadgets,7,E50
286,11,Radiators,House Machines,40,Home/Household,1,E50
287,11,Radios,Office Equipment,35,Office,2,E50
288,11,Scanners,Office Equipment,35,Office,4,E50
289,11,Shavers,Self Care Equipments,36,Care,1,E50
290,11,Smart Watches,Gadgets,34,Gadgets,1,E50
291,11,Smartphones,Gadgets,34,Gadgets,12,E50
292,11,Speakers,Gadgets,34,Gadgets,19,E50
293,11,Stand Mixers,Other Handy Equipment,37,Misc/Other,2,E50
294,11,Tablets,Gadgets,34,Gadgets,5,E50
295,11,Televisions,Office Equipment,35,Office,1,E50
296,11,Trimmers,Other Handy Equipment,37,Misc/Other,6,E50
297,11,Vacuum Cleaners,House Machines,40,Home/Household,5,E50
298,11,VR Headsets,Gadgets,34,Gadgets,13,E50
299,11,Washing Machines,House Machines,40,Home/Household,3,E50
300,12,Air Conditioners,House,43,Home/Household,6,E50
301,12,Air Purifiers,House,43,Home/Household,2,E50
302,12,Cameras,Electronics,41,Electronics,17,E50
303,12,Chargers,Electronics,41,Electronics,6,E50
304,12,Coffee Makers,Kitchen,42,Kitchen,7,E50
305,12,Computer Mice,Office,45,Office,4,E50
306,12,Cookers,Kitchen,42,Kitchen,3,E50
307,12,Deep Fryers,Kitchen,42,Kitchen,5,E50
308,12,Desktop Computers,Electronics,41,Electronics,4,E50
309,12,Dishwashers,Kitchen,42,Kitchen,4,E50
310,12,Drones,Electronics,41,Electronics,1,E50
311,12,E-Readers,Electronics,41,Electronics,2,E50
312,12,Electric Kettles,Kitchen,42,Kitchen,8,E50
313,12,Electric Toothbrushes,Personal Care,44,Care,4,E50
314,12,Fans,House,43,Home/Household,5,E50
315,12,Freezers,Kitchen,42,Kitchen,13,E50
316,12,Fridges,Kitchen,42,Kitchen,2,E50
317,12,Gaming Consoles,Electronics,41,Electronics,3,E50
318,12,Graphic Cards,Office,45,Office,2,E50
319,12,Hair Dryers,Personal Care,44,Care,2,E50
320,12,Headphones,Electronics,41,Electronics,5,E50
321,12,Hobs,Kitchen,42,Kitchen,9,E50
322,12,Irons,House,43,Home/Household,7,E50
323,12,Juicers,Kitchen,42,Kitchen,10,E50
324,12,Keyboards,Electronics,41,Electronics,11,E50
325,12,Kitchen Scales,Kitchen,42,Kitchen,12,E50
326,12,Laptops,Electronics,41,Electronics,7,E50
327,12,Microphones,Office,45,Office,3,E50
328,12,Microwave Ovens,Kitchen,42,Kitchen,11,E50
329,12,Monitors,Office,45,Office,7,E50
330,12,Musical Instruments,House,43,Home/Household,4,E50
331,12,Ovens,Kitchen,42,Kitchen,1,E50
332,12,PC Games,Electronics,41,Electronics,10,E50
333,12,Phone Cases,Electronics,41,Electronics,12,E50
334,12,Printers,Office,45,Office,5,E50
335,12,Processors,Office,45,Office,6,E50
336,12,Radiators,House,43,Home/Household,3,E50
337,12,Radios,Electronics,41,Electronics,18,E50
338,12,Scanners,Office,45,Office,1,E50
339,12,Shavers,Personal Care,44,Care,3,E50
340,12,Smart Watches,Electronics,41,Electronics,14,E50
341,12,Smartphones,Electronics,41,Electronics,9,E50
342,12,Speakers,Electronics,41,Electronics,16,E50
343,12,Stand Mixers,Kitchen,42,Kitchen,6,E50
344,12,Tablets,Electronics,41,Electronics,8,E50
345,12,Televisions,Electronics,41,Electronics,13,E50
346,12,Trimmers,Personal Care,44,Care,1,E50
347,12,Vacuum Cleaners,House,43,Home/Household,1,E50
348,12,VR Headsets,Electronics,41,Electronics,15,E50
349,12,Washing Machines,Kitchen,42,Kitchen,14,E50
350,13,Air Conditioners,Household appliances ,47,Home/Household,10,E50
351,13,Air Purifiers,Household appliances ,47,Home/Household,4,E50
352,13,Cameras,Recreation,46,Recreation,8,E50
353,13,Chargers,Recreation,46,Recreation,12,E50
354,13,Coffee Makers,Household appliances ,47,Home/Household,1,E50
355,13,Computer Mice,Gaming,48,Gaming,8,E50
356,13,Cookers,Household appliances ,47,Home/Household,21,E50
357,13,Deep Fryers,Household appliances ,47,Home/Household,12,E50
358,13,Desktop Computers,Gaming,48,Gaming,7,E50
359,13,Dishwashers,Household appliances ,47,Home/Household,9,E50
360,13,Drones,Recreation,46,Recreation,13,E50
361,13,E-Readers,Recreation,46,Recreation,11,E50
362,13,Electric Kettles,Household appliances ,47,Home/Household,16,E50
363,13,Electric Toothbrushes,Household appliances ,47,Home/Household,13,E50
364,13,Fans,Household appliances ,47,Home/Household,11,E50
365,13,Freezers,Household appliances ,47,Home/Household,23,E50
366,13,Fridges,Household appliances ,47,Home/Household,5,E50
367,13,Gaming Consoles,Gaming,48,Gaming,2,E50
368,13,Graphic Cards,Gaming,48,Gaming,1,E50
369,13,Hair Dryers,Household appliances ,47,Home/Household,17,E50
370,13,Headphones,Recreation,46,Recreation,2,E50
371,13,Hobs,Household appliances ,47,Home/Household,26,E50
372,13,Irons,Household appliances ,47,Home/Household,19,E50
373,13,Juicers,Household appliances ,47,Home/Household,6,E50
374,13,Keyboards,Gaming,48,Gaming,4,E50
375,13,Kitchen Scales,Household appliances ,47,Home/Household,14,E50
376,13,Laptops,Gaming,48,Gaming,3,E50
377,13,Microphones,Recreation,46,Recreation,14,E50
378,13,Microwave Ovens,Household appliances ,47,Home/Household,22,E50
379,13,Monitors,Gaming,48,Gaming,6,E50
380,13,Musical Instruments,Recreation,46,Recreation,5,E50
381,13,Ovens,Household appliances ,47,Home/Household,20,E50
382,13,PC Games,Gaming,48,Gaming,9,E50
383,13,Phone Cases,Recreation,46,Recreation,1,E50
384,13,Printers,Household appliances ,47,Home/Household,25,E50
385,13,Processors,Gaming,48,Gaming,5,E50
386,13,Radiators,Household appliances ,47,Home/Household,18,E50
387,13,Radios,Recreation,46,Recreation,7,E50
388,13,Scanners,Recreation,46,Recreation,9,E50
389,13,Shavers,Household appliances ,47,Home/Household,24,E50
390,13,Smart Watches,Recreation,46,Recreation,6,E50
391,13,Smartphones,Recreation,46,Recreation,4,E50
392,13,Speakers,Household appliances ,47,Home/Household,3,E50
393,13,Stand Mixers,Household appliances ,47,Home/Household,2,E50
394,13,Tablets,Recreation,46,Recreation,10,E50
395,13,Televisions,Household appliances ,47,Home/Household,27,E50
396,13,Trimmers,Household appliances ,47,Home/Household,8,E50
397,13,Vacuum Cleaners,Household appliances ,47,Home/Household,15,E50
398,13,VR Headsets,Recreation,46,Recreation,3,E50
399,13,Washing Machines,Household appliances ,47,Home/Household,7,E50
400,15,Air Conditioners,Home Electronics,51,Home/Household,4,E50
401,15,Air Purifiers,Home Electronics,51,Home/Household,1,E50
402,15,Cameras,Computer Equipment ,50,Computers & Accessories,4,E50
403,15,Chargers,Computer Equipment ,50,Computers & Accessories,8,E50
404,15,Coffee Makers,Kitchen Appliances,49,Kitchen,1,E50
405,15,Computer Mice,Computer Equipment ,50,Computers & Accessories,18,E50
406,15,Cookers,Kitchen Appliances,49,Kitchen,9,E50
407,15,Deep Fryers,Kitchen Appliances,49,Kitchen,13,E50
408,15,Desktop Computers,Computer Equipment ,50,Computers & Accessories,16,E50
409,15,Dishwashers,Kitchen Appliances,49,Kitchen,11,E50
410,15,Drones,Home Electronics,51,Home/Household,9,E50
411,15,E-Readers,Computer Equipment ,50,Computers & Accessories,9,E50
412,15,Electric Kettles,Kitchen Appliances,49,Kitchen,4,E50
413,15,Electric Toothbrushes,Personal Care ,52,Care,2,E50
414,15,Fans,Home Electronics,51,Home/Household,7,E50
415,15,Freezers,Kitchen Appliances,49,Kitchen,7,E50
416,15,Fridges,Kitchen Appliances,49,Kitchen,8,E50
417,15,Gaming Consoles,Home Electronics,51,Home/Household,12,E50
418,15,Graphic Cards,Computer Equipment ,50,Computers & Accessories,15,E50
419,15,Hair Dryers,Personal Care ,52,Care,1,E50
420,15,Headphones,Home Electronics,51,Home/Household,8,E50
421,15,Hobs,Kitchen Appliances,49,Kitchen,3,E50
422,15,Irons,Personal Care ,52,Care,4,E50
423,15,Juicers,Kitchen Appliances,49,Kitchen,10,E50
424,15,Keyboards,Computer Equipment ,50,Computers & Accessories,13,E50
425,15,Kitchen Scales,Kitchen Appliances,49,Kitchen,12,E50
426,15,Laptops,Computer Equipment ,50,Computers & Accessories,5,E50
427,15,Microphones,Computer Equipment ,50,Computers & Accessories,11,E50
428,15,Microwave Ovens,Kitchen Appliances,49,Kitchen,5,E50
429,15,Monitors,Computer Equipment ,50,Computers & Accessories,12,E50
430,15,Musical Instruments,Hobbies,53,Hobbies,1,E50
431,15,Ovens,Kitchen Appliances,49,Kitchen,6,E50
432,15,PC Games,Home Electronics,51,Home/Household,10,E50
433,15,Phone Cases,Computer Equipment ,50,Computers & Accessories,2,E50
434,15,Printers,Computer Equipment ,50,Computers & Accessories,17,E50
435,15,Processors,Computer Equipment ,50,Computers & Accessories,14,E50
436,15,Radiators,Home Electronics,51,Home/Household,3,E50
437,15,Radios,Home Electronics,51,Home/Household,6,E50
438,15,Scanners,Computer Equipment ,50,Computers & Accessories,10,E50
439,15,Shavers,Personal Care ,52,Care,5,E50
440,15,Smart Watches,Computer Equipment ,50,Computers & Accessories,3,E50
441,15,Smartphones,Home Electronics,51,Home/Household,11,E50
442,15,Speakers,Computer Equipment ,50,Computers & Accessories,6,E50
443,15,Stand Mixers,Kitchen Appliances,49,Kitchen,14,E50
444,15,Tablets,Computer Equipment ,50,Computers & Accessories,1,E50
445,15,Televisions,Home Electronics,51,Home/Household,2,E50
446,15,Trimmers,Personal Care ,52,Care,3,E50
447,15,Vacuum Cleaners,Home Electronics,51,Home/Household,5,E50
448,15,VR Headsets,Computer Equipment ,50,Computers & Accessories,7,E50
449,15,Washing Machines,Kitchen Appliances,49,Kitchen,2,E50
450,16,Air Conditioners,Home Appliances,55,Home/Household,6,E50
451,16,Air Purifiers,Home Appliances,55,Home/Household,5,E50
452,16,Cameras,Electronics,54,Electronics,25,E50
453,16,Chargers,Electronics,54,Electronics,2,E50
454,16,Coffee Makers,Home Appliances,55,Home/Household,9,E50
455,16,Computer Mice,Electronics,54,Electronics,8,E50
456,16,Cookers,Home Appliances,55,Home/Household,19,E50
457,16,Deep Fryers,Home Appliances,55,Home/Household,7,E50
458,16,Desktop Computers,Electronics,54,Electronics,3,E50
459,16,Dishwashers,Home Appliances,55,Home/Household,20,E50
460,16,Drones,Electronics,54,Electronics,20,E50
461,16,E-Readers,Electronics,54,Electronics,1,E50
