,respondent,time,categories,variant,age,gender,education,income,domain,crt1,crt2,crt3,crtCheck,crtCheckElaborate,att1,labelClarity,sortDifficulty,concentration,timeAmount,cardQuantity,bf1,bf2,bf3,bf4,bf5,bf6,bf7,bf8,bf9,bf10,bf11,bf12,bf13,bf14,bf15,att2,note
15,24,00:13:47,4,E50,45 - 54,Woman,High school diploma,"£0 - £9,999",At least once a week,5 pence,5 minutes,47 days,Yes,lilly pad,Salad,4,3,4,3,3,3,4,1,3,2,4,1,3,2,4,2,3,3,3,2,30,Did not answer
16,25,00:10:51,10,E50,45 - 54,Woman,Doctoral degree,"£50,000 - £74,999",At least once a week,5 pence,5 minutes,47 days,Yes,All three of them I have encountered previously,Salad,5,4,5,3,3,1,2,2,4,4,5,4,1,3,3,3,2,4,4,4,30,No
17,26,00:16:11,9,E50,45 - 54,Man,Graduate degree,"£50,000 - £74,999",At least once a week,10 pence,20 minutes,24 days,No,Did not answer,Salad,4,3,3,2,3,4,4,3,4,4,3,2,3,3,2,3,3,3,3,3,30,no
18,27,00:07:03,4,E50,45 - 54,Man,Undergraduate degree,"£30,000 - £39,999",Less often,10 pence,500 minutes,47 days,No,Did not answer,Salad,5,4,5,3,3,4,4,2,4,3,2,2,2,3,2,3,4,4,3,3,30,Did not answer
19,28,00:12:04,4,E50,45 - 54,Man,Technical/community college,"£40,000 - £49,999",At least once a month,10 pence,100 minutes,12 days,Yes,"All of them, although I can't say precisely where.",Salad,5,4,5,2,3,2,4,2,2,4,3,2,4,2,2,3,4,3,4,3,30,Did not answer
20,30,00:14:38,7,E50,45 - 54,Woman,Doctoral degree,"£40,000 - £49,999",At least once a month,10 pence,20 minutes,24 days,No,Did not answer,Salad,4,3,4,3,3,3,5,3,4,3,3,1,2,1,4,4,4,4,3,2,30,Did not answer
21,33,00:08:46,6,E50,35 - 44,Woman,Undergraduate degree,"£50,000 - £74,999",At least once a month,10 pence,5 minutes,12 days,No,Did not answer,Salad,5,4,3,3,3,4,4,1,3,2,4,2,2,2,4,3,4,5,3,4,30,Did not answer
22,34,00:13:44,6,E50,35 - 44,Man,Undergraduate degree,"£0 - £9,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,5,3,3,4,5,2,4,4,2,1,3,2,1,3,2,5,3,3,30,Thanks for having me. 
23,35,00:09:32,7,E50,25 - 34,Woman,High school diploma,"£30,000 - £39,999",At least once a month,5 pence,100 minutes,47 days,No,Did not answer,Salad,5,4,4,3,3,4,5,2,3,2,1,1,2,2,2,3,3,5,4,2,12,Did not answer
24,37,00:08:44,8,E50,25 - 34,Woman,Undergraduate degree,"£40,000 - £49,999",At least once a month,10 pence,5 minutes,47 days,No,Did not answer,Salad,5,5,5,3,2,4,4,3,3,2,3,3,4,3,3,1,3,3,3,3,30,That was really fun and interesting 
25,38,00:14:00,7,E50,35 - 44,Man,Secondary education,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,47 days,No,Did not answer,Salad,5,4,5,3,3,4,4,2,3,3,2,1,3,2,3,4,4,5,5,4,30,"the study was clear and easy to use, had fun comming up with own groups rather than ones that are pre labled for you"
26,39,00:10:57,5,E50,25 - 34,Man,Graduate degree,"£40,000 - £49,999",At least once a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,3,3,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,30,Did not answer
27,43,00:13:14,5,E50,35 - 44,Woman,High school diploma,"£20,000 - £29,999",At least once a day,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,3,5,3,3,3,5,4,5,3,3,4,2,4,3,2,3,4,3,2,30,Did not answer
28,44,00:30:18,5,E50,25 - 34,Woman,Undergraduate degree,"£30,000 - £39,999",At least once a month,10 pence,500 minutes,47 days,Yes,I've seen a variation of the lily pad question,Salad,5,5,5,3,3,2,5,4,5,4,3,1,3,4,4,3,4,4,3,4,12,Did not answer
29,45,00:11:16,11,E50,25 - 34,Man,Undergraduate degree,"£20,000 - £29,999",At least once a day,5 pence,5 minutes,47 days,Yes,The bat and ball question,Salad,3,4,5,3,3,1,4,1,2,2,4,1,1,1,3,4,4,5,5,3,30,UX / UI is very nice to use and intuitive 
30,46,00:08:11,5,E50,25 - 34,Woman,Undergraduate degree,"£30,000 - £39,999",At least once a month,5 pence,5 minutes,47 days,Yes,All 3,Salad,5,4,5,3,3,5,4,2,5,5,1,3,3,5,3,2,4,4,1,2,30,no
31,47,00:06:08,4,E50,25 - 34,Man,Undergraduate degree,"£30,000 - £39,999",At least once a week,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,1,5,5,5,3,2,5,1,5,4,2,5,3,1,5,5,5,5,5,12,Did not answer
32,48,00:09:32,5,E50,25 - 34,Man,Undergraduate degree,"£20,000 - £29,999",At least once a month,5 pence,5 minutes,47 days,Yes,All three were in a work quiz,Salad,5,4,5,3,3,1,4,3,2,1,3,3,4,3,2,3,4,2,3,1,30,Did not answer
33,49,00:09:04,7,E50,25 - 34,Man,Doctoral degree,"£40,000 - £49,999",At least once a day,5 pence,5 minutes,47 days,Yes,"The bat and ball, and the lily pads in the lake",Salad,5,4,5,3,4,5,4,2,5,4,1,3,2,4,1,3,2,4,1,4,30,"There were  some options which I felt would fit in more than one category. For example, graphics cards would fit under both ""Computers and accessories"" as well as ""Gaming"". For ""Drones"", I was not sure whether to put it in its own category, put it under miscellaneous or put it under portable devices. But most of the other items were relatively straightforward to decide"
34,51,00:17:45,11,E50,25 - 34,Woman,Graduate degree,"£20,000 - £29,999",At least once a month,10 pence,100 minutes,47 days,No,Did not answer,Salad,5,4,5,2,3,3,5,5,3,1,2,2,3,3,4,3,4,4,4,3,30,Did not answer
35,53,00:11:26,7,E50,45 - 54,Man,Graduate degree,"£30,000 - £39,999",At least once a week,10 pence,5 minutes,47 days,Yes,I have been asked the exact same three questions multiple times. ,Salad,5,4,5,4,4,2,4,1,2,1,2,4,2,1,1,5,3,4,4,4,30,Thank you very much for a novel and surprisingly interesting study.
36,55,00:06:31,3,E50,25 - 34,Man,Graduate degree,"£75,000 - £100,000",At least once a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,5,5,3,4,2,2,3,1,1,4,4,3,2,2,4,2,4,5,5,30,Did not answer
37,57,00:07:06,6,E50,25 - 34,Man,Undergraduate degree,"£30,000 - £39,999",At least once a day,5 pence,5 minutes,47 days,Yes,The bat and the ball one is a frequent one I've seen.,Salad,5,4,4,3,4,2,4,3,5,3,4,4,2,4,2,2,2,4,2,4,30,No :)
38,58,00:05:43,7,E50,25 - 34,Woman,Graduate degree,"£40,000 - £49,999",At least once a day,5 pence,5 minutes,47 days,Yes,The first one - though im not sure where,Salad,4,4,4,3,4,4,4,2,4,4,2,3,4,4,2,2,2,4,3,3,30,na
39,59,00:09:22,7,E50,35 - 44,Man,Undergraduate degree,"£20,000 - £29,999",At least once a month,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,5,3,3,3,4,2,1,4,4,2,1,4,1,3,2,3,2,4,30,No thank you. Lots of fun :)
40,4,00:09:04,3,E30,18 - 24,Man,Graduate degree,"£40,000 - £49,999",At least once a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,4,5,4,4,5,5,1,3,4,4,1,2,2,3,3,4,4,4,4,30,i love the categories
41,5,00:06:48,5,E30,18 - 24,Man,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,5,5,3,4,4,3,3,2,3,3,2,4,4,3,2,3,3,5,3,30,No
42,6,00:13:10,6,E30,18 - 24,Woman,Undergraduate degree,No income,Less often,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,5,5,3,3,5,3,2,2,2,1,1,3,1,4,2,3,4,5,2,30,Did not answer
43,7,00:06:29,3,E30,18 - 24,Woman,Undergraduate degree,No income,At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,5,5,4,3,2,5,3,5,4,3,3,4,4,1,3,4,4,4,3,30,
44,9,00:06:38,2,E30,18 - 24,Man,High school diploma,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,3,3,2,2,3,2,4,4,5,3,2,4,3,2,3,4,2,3,3,30,"Interesting study, got me thinking"
45,10,00:09:31,3,E30,18 - 24,Man,High school diploma,"£0 - £9,999",Less often,10 pence,5 minutes,47 days,No,,Salad,5,4,5,2,4,3,4,1,4,4,4,2,3,3,3,4,2,4,4,4,30,
46,11,00:10:32,5,E30,18 - 24,Woman,Undergraduate degree,"£10,000 - £19,999",At least once a week,10 pence,5 minutes,12 days,No,Did not answer,Salad,5,4,5,3,3,1,4,3,1,3,3,2,4,2,2,4,4,5,3,3,30,Did not answer
47,13,00:19:05,5,E30,25 - 34,Woman,High school diploma,"£30,000 - £39,999",At least once a month,10 pence,500 minutes,24 days,No,Did not answer,Salad,3,2,4,3,2,3,4,4,5,5,3,1,4,2,1,2,3,4,2,4,30,Did not answer
48,14,00:06:28,6,E30,25 - 34,Woman,Secondary education,"£10,000 - £19,999",At least once a month,5 pence,500 minutes,12 days,Yes,Bat & Ball definitely and im sure the lily pads but cannot remember the answer.,Salad,5,5,5,2,3,4,5,4,4,1,2,2,2,1,4,3,3,4,4,2,30,Did not answer
49,15,00:15:46,8,E30,35 - 44,Woman,Undergraduate degree,"£30,000 - £39,999",At least once a day,10 pence,5 minutes,47 days,Yes,"MQ3: In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? *
",Salad,3,2,3,2,3,3,4,3,4,5,3,2,3,2,3,4,4,4,3,3,30,Did not answer
50,16,00:13:03,4,E30,35 - 44,Man,Undergraduate degree,"£40,000 - £49,999",Less often,5 pence,100 minutes,47 days,Yes,I have encountered similar questions to all 3 of them before.,Salad,5,4,5,4,2,5,4,2,2,3,2,2,2,4,4,3,1,4,4,2,30,
51,17,00:05:55,6,E30,25 - 34,Woman,Graduate degree,"£0 - £9,999",At least once a month,5 pence,5 minutes,47 days,Yes,All three of them.,Salad,4,3,5,3,3,5,4,2,5,5,1,1,4,4,2,1,2,4,2,1,30,Did not answer
52,18,00:09:02,6,E30,35 - 44,Woman,Doctoral degree,"£40,000 - £49,999",At least once a week,10 pence,100 minutes,12 days,No,Did not answer,Salad,5,4,5,3,2,4,5,1,5,3,2,1,1,2,2,2,3,5,3,3,30,Did not answer
53,19,00:05:18,3,E30,35 - 44,Woman,High school diploma,"£20,000 - £29,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,2,3,3,2,4,4,2,4,3,2,2,3,3,3,2,4,4,3,3,30,no
54,20,00:13:42,9,E30,18 - 24,Woman,Technical/community college,"£0 - £9,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,3,5,3,3,4,5,4,5,4,2,2,5,3,2,2,3,4,2,3,30,Did not answer
55,21,00:15:26,15,E30,25 - 34,Woman,Undergraduate degree,"£10,000 - £19,999",Less often,10 pence,100 minutes,12 days,Yes,They seem familiar but I still don't know the answers!,Salad,4,2,4,2,3,4,4,5,4,4,1,4,5,5,2,1,4,3,2,1,30,Wasn't sure what kind of trimmers
56,22,00:05:16,8,E30,35 - 44,Man,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,3,4,3,3,3,3,2,4,2,2,4,4,3,3,3,3,3,30,
57,23,00:03:44,4,E30,35 - 44,Man,Graduate degree,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,5,5,3,4,4,4,3,3,2,2,3,4,3,3,2,3,4,3,4,30,Did not answer
58,24,00:04:38,4,E30,25 - 34,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,Yes,"All of them, is it a standard set for studies/tests?",Salad,5,5,5,3,2,4,3,3,5,4,1,3,5,4,3,2,1,2,2,3,30,
59,25,00:06:46,5,E30,25 - 34,Woman,Undergraduate degree,"£0 - £9,999",At least once a week,10 pence,500 minutes,47 days,Yes,MQ1 and MQ2 ,Salad,5,5,5,3,3,4,4,2,4,5,3,1,4,3,1,3,4,4,4,4,30,A nice UI and easy to understand.
60,26,00:06:16,6,E30,25 - 34,Woman,Secondary education,"£0 - £9,999",At least once a week,5 pence,5 minutes,47 days,Yes,ive encountered all 3 of them numerous times,Salad,5,5,5,2,2,4,4,3,5,3,1,3,4,3,3,3,2,2,2,2,30,no
61,27,00:15:14,7,E30,25 - 34,Man,Graduate degree,"£30,000 - £39,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,5,5,5,4,4,4,3,3,1,5,5,1,2,1,1,5,3,5,5,5,30,Did not answer
62,30,00:31:20,5,E30,35 - 44,Man,Undergraduate degree,"£50,000 - £74,999",At least once a week,5 pence,500 minutes,47 days,Yes,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? This is a very common question in some tests. The others I have not seen before. ",Salad,5,3,5,3,5,5,3,2,5,5,3,2,2,4,2,3,2,5,4,4,30,Did not answer
63,31,00:10:31,8,E30,35 - 44,Woman,Undergraduate degree,"£10,000 - £19,999",Less often,5 pence,5 minutes,47 days,Yes,i have encountered all three of them before,Salad,5,4,5,3,3,2,3,1,3,4,4,3,3,2,2,3,3,4,4,5,30,no
64,32,00:09:06,6,E30,35 - 44,Woman,Graduate degree,"£10,000 - £19,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,5,5,3,3,4,5,1,4,3,1,1,2,1,1,4,5,5,4,2,30,Did not answer
65,34,00:08:56,3,E30,45 - 54,Man,High school diploma,"£50,000 - £74,999",Less often,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,5,5,3,3,3,4,3,2,5,4,2,3,1,4,4,4,5,3,2,30,Did not answer
66,35,00:13:06,8,E30,45 - 54,Woman,Graduate degree,"£0 - £9,999",At least once a month,5 pence,5 minutes,47 days,No,Did not answer,Salad,2,2,2,3,3,4,4,2,3,4,2,3,3,2,2,3,3,4,3,4,30,Did not answer
67,36,00:09:05,4,E30,45 - 54,Woman,Technical/community college,"£20,000 - £29,999",At least once a month,10 pence,5 minutes,24 days,Yes,all of them,Salad,5,4,4,3,3,3,4,3,3,4,2,2,3,3,3,2,3,4,4,4,30,Did not answer
68,37,00:07:23,4,E30,45 - 54,Man,Undergraduate degree,"£40,000 - £49,999",At least once a month,5 pence,100 minutes,47 days,No,Did not answer,Salad,4,4,5,3,3,4,4,1,2,2,3,1,1,1,3,3,3,4,5,4,30,Did not answer
69,38,00:06:37,4,E30,55+,Woman,Undergraduate degree,"£50,000 - £74,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,3,5,3,3,3,2,1,2,1,1,4,2,1,5,3,3,4,4,4,30,Did not answer
70,39,00:12:56,4,E30,45 - 54,Man,Secondary education,No income,At least once a month,5 pence,5 minutes,47 days,Yes,the lily pad question,Salad,5,5,5,3,3,4,4,1,3,4,3,2,2,1,2,5,5,5,5,4,30,no
71,40,00:13:05,9,E30,55+,Man,Secondary education,"£40,000 - £49,999",At least once a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,4,5,2,3,2,4,2,2,2,3,3,4,2,3,3,4,4,4,3,30,great study
72,41,00:17:15,7,E30,45 - 54,Woman,Secondary education,"£50,000 - £74,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,5,3,2,3,3,2,2,3,3,3,3,1,3,3,3,5,4,3,30,Did not answer
73,43,00:07:26,4,E30,25 - 34,Man,Undergraduate degree,"£30,000 - £39,999",At least once a week,10 pence,100 minutes,12 days,No,Did not answer,Salad,5,4,4,4,4,3,2,2,1,2,4,2,4,1,2,4,3,4,2,3,30,No
74,44,00:09:56,9,E30,25 - 34,Man,Undergraduate degree,"£10,000 - £19,999",At least once a week,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,5,5,3,4,5,3,2,4,5,3,3,4,5,2,2,3,3,4,3,30,Did not answer
75,46,00:06:47,7,E30,25 - 34,Man,Graduate degree,"£20,000 - £29,999",At least once a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,4,3,2,5,2,4,2,4,1,2,2,2,3,5,5,4,2,30,Did not answer
76,47,00:08:06,10,E30,25 - 34,Man,High school diploma,"£30,000 - £39,999",Less often,5 pence,5 minutes,47 days,Yes,"MQ1, MQ3",Salad,4,4,4,3,3,4,4,5,4,3,1,2,4,4,4,2,4,3,4,2,30,no
77,48,00:09:50,7,E30,25 - 34,Man,Graduate degree,"£30,000 - £39,999",At least once a month,10 pence,20 minutes,12 days,No,Did not answer,Salad,3,2,4,2,2,4,4,2,4,3,4,2,4,4,3,2,3,4,3,3,30,Did not answer
78,49,00:06:58,4,E30,25 - 34,Man,Graduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,all three,Salad,5,4,5,3,4,3,2,4,3,3,3,2,4,2,1,3,4,4,4,4,30,no
79,51,00:06:57,7,E30,35 - 44,Man,Graduate degree,"£75,000 - £100,000",At least once a month,10 pence,100 minutes,47 days,Yes,MQ3,Salad,4,2,4,2,3,5,5,4,5,4,2,3,4,4,2,2,5,4,3,5,30,thanks
80,5,00:24:34,10,B50,18 - 24,Man,High school diploma,"£10,000 - £19,999",At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,3,5,2,2,5,3,2,4,1,3,2,4,3,4,3,2,4,4,2,30,Did not answer
81,6,00:16:15,6,B50,18 - 24,Man,Graduate degree,"£10,000 - £19,999",At least once a day,10 pence,100 minutes,24 days,Yes,All of them,Salad,4,3,3,2,3,4,4,2,4,3,2,2,3,3,2,3,3,3,4,3,30,Did not answer
82,8,00:13:01,8,B50,18 - 24,Woman,Graduate degree,"£30,000 - £39,999",At least once a week,10 pence,100 minutes,47 days,No,Did not answer,Salad,4,3,4,3,3,4,3,2,4,4,3,1,3,2,2,3,3,4,3,4,30,Did not answer
83,9,00:07:41,4,B50,18 - 24,Man,High school diploma,"£20,000 - £29,999",At least once a day,10 pence,5 minutes,47 days,Yes,all 3 doing other surveys,Salad,4,3,4,4,3,3,4,3,4,4,3,3,3,1,2,3,4,4,4,4,30,Did not answer
84,10,00:12:05,6,B50,18 - 24,Woman,Undergraduate degree,No income,Less often,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,2,4,3,3,4,3,3,5,5,1,2,4,5,3,4,1,3,1,5,30,no
85,11,00:22:47,11,B50,18 - 24,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a month,5 pence,5 minutes,47 days,Yes,I have encountered all of them before and I know the questions target our biases.,Salad,5,3,4,2,2,5,4,2,2,4,1,1,4,2,1,3,4,4,4,5,30,Did not answer
86,12,00:13:06,7,B50,18 - 24,Man,Technical/community college,"£20,000 - £29,999",Multiple times a day,5 pence,5 minutes,47 days,Yes,I have encountered the bat and ball question before.,Salad,4,4,3,3,2,4,3,2,3,5,3,1,4,3,1,4,5,4,5,2,30,Did not answer
87,15,00:12:35,5,B50,18 - 24,Woman,High school diploma,"£10,000 - £19,999",At least once a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,3,5,3,2,5,5,4,4,5,2,3,5,2,3,4,4,5,3,4,30,Did not answer
88,18,00:10:48,10,B50,55+,Woman,High school diploma,"£10,000 - £19,999",Less often,5 pence,5 minutes,47 days,Yes,All of the above.,Salad,3,4,5,3,3,4,4,1,4,5,1,1,4,2,1,2,4,5,2,3,30,I didn't understand one of the terms so had to put that in a separate category.
89,19,00:21:50,9,B50,35 - 44,Woman,Graduate degree,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,Yes,MQ3,Salad,5,5,5,3,3,2,5,2,3,5,5,1,3,1,1,5,5,5,5,5,12,The study helps me remember to always sort my daily activities according to category and in other of important
90,20,00:29:16,10,B50,25 - 34,Man,Undergraduate degree,"£20,000 - £29,999",Multiple times a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,2,4,2,2,4,5,1,1,5,3,1,1,1,1,5,5,5,5,5,30,"It is a nice study on categorizing things associated with banking, I had a good time completing it."
91,21,00:25:57,4,B50,25 - 34,Woman,Graduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,All of the questions I have encountered either in class quizes or pubs or among friends. ,Salad,4,3,3,1,3,4,4,2,3,4,4,1,1,2,1,2,4,4,4,4,30,no
92,22,00:24:45,5,B50,25 - 34,Man,Undergraduate degree,"£50,000 - £74,999",At least once a day,9 pence,5 minutes,12 days,No,Did not answer,Salad,5,4,5,3,2,3,3,3,4,4,3,3,2,3,5,5,4,5,3,4,30,Did not answer
93,24,00:09:05,7,B50,35 - 44,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a week,10 pence,5 minutes,12 days,No,Did not answer,Salad,3,2,4,3,2,3,4,1,4,3,3,1,3,2,3,3,2,5,4,3,30,Did not answer
94,26,00:12:22,7,B50,25 - 34,Woman,Doctoral degree,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,47 days,No,Did not answer,Salad,3,2,5,3,3,3,5,1,4,4,2,1,2,4,3,2,3,3,2,2,30,
95,28,00:31:14,13,B50,35 - 44,Woman,Doctoral degree,"£75,000 - £100,000",At least once a week,5 pence,5 minutes,47 days,Yes,I think I've seen MQ1 before; it feels familiar.,Salad,4,4,5,3,3,3,4,3,2,3,2,2,2,2,2,4,4,4,3,3,30,Did not answer
96,29,00:31:12,9,B50,25 - 34,Woman,Undergraduate degree,"£10,000 - £19,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,3,2,1,5,5,1,2,5,2,1,2,1,4,4,5,4,4,4,30,its truly engaging and mind involving. one has to be a critical thinker to sort through things faster. 
97,30,00:09:35,8,B50,45 - 54,Woman,Graduate degree,"£20,000 - £29,999",At least once a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,3,4,4,3,4,4,4,4,4,2,3,2,3,2,3,3,3,3,3,30,Did not answer
98,31,00:23:42,9,B50,55+,Man,Undergraduate degree,"£0 - £9,999",At least once a day,5 pence,5 minutes,47 days,Yes,All three.,Salad,4,2,4,2,2,5,3,2,3,2,1,2,2,4,3,2,3,3,2,4,30,No.
99,32,00:11:04,6,B50,45 - 54,Man,Undergraduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,lily pad one,Salad,5,2,5,3,3,4,2,2,3,2,2,1,2,4,2,2,1,4,3,4,30,Did not answer
100,34,00:08:21,6,B50,25 - 34,Man,Technical/community college,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,Yes,"I have encountered all three questions in previous studies, as well as variations of them in general quizzes (such as Christmas quizzes) as well as when I was in full time education.",Salad,4,2,4,3,2,3,4,2,4,3,2,2,2,3,2,3,4,4,3,3,30,"No, it was an interesting study. Thank you."
101,35,00:10:48,10,B50,35 - 44,Man,Graduate degree,"£50,000 - £74,999",At least once a month,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,3,3,2,5,1,3,5,4,1,1,1,1,4,4,5,4,5,30,Did not answer
102,36,00:08:02,8,B50,45 - 54,Man,Graduate degree,"£50,000 - £74,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,3,2,1,3,2,2,4,5,3,1,1,3,4,2,5,5,4,30,Did not answer
