,respondent,card,category,categoryId,categoryStandardized,order,variant,categoryEdited,agreement
23,5,Juicers,White Goods / Household items ,1,White goods,2,E50,white goods household items,53.333333333333336
24,5,Keyboards,Electrical items ,2,Electronics,3,E50,electrical items,33.38461538461539
25,5,Kitchen Scales,White Goods / Household items ,1,White goods,14,E50,white goods household items,53.333333333333336
26,5,Laptops,Electrical items ,2,Electronics,16,E50,electrical items,33.38461538461539
27,5,Microphones,Electrical items ,2,Electronics,23,E50,electrical items,33.38461538461539
28,5,Microwave Ovens,White Goods / Household items ,1,White goods,19,E50,white goods household items,53.333333333333336
29,5,Monitors,Electrical items ,2,Electronics,1,E50,electrical items,33.38461538461539
30,5,Musical Instruments,Electrical items ,2,Electronics,7,E50,electrical items,33.38461538461539
31,5,Ovens,White Goods / Household items ,1,White goods,1,E50,white goods household items,53.333333333333336
32,5,PC Games,Electrical items ,2,Electronics,13,E50,electrical items,33.38461538461539
33,5,Phone Cases,Electrical items ,2,Electronics,17,E50,electrical items,33.38461538461539
34,5,Printers,Electrical items ,2,Electronics,24,E50,electrical items,33.38461538461539
35,5,Processors,Electrical items ,2,Electronics,27,E50,electrical items,33.38461538461539
36,5,Radiators,White Goods / Household items ,1,White goods,8,E50,white goods household items,53.333333333333336
37,5,Radios,Electrical items ,2,Electronics,30,E50,electrical items,33.38461538461539
38,5,Scanners,Electrical items ,2,Electronics,26,E50,electrical items,33.38461538461539
39,5,Shavers,Electrical items ,2,Electronics,4,E50,electrical items,33.38461538461539
40,5,Smart Watches,Electrical items ,2,Electronics,14,E50,electrical items,33.38461538461539
41,5,Smartphones,Electrical items ,2,Electronics,10,E50,electrical items,33.38461538461539
42,5,Speakers,Electrical items ,2,Electronics,22,E50,electrical items,33.38461538461539
43,5,Stand Mixers,White Goods / Household items ,1,White goods,13,E50,white goods household items,53.333333333333336
44,5,Tablets,Electrical items ,2,Electronics,29,E50,electrical items,33.38461538461539
45,5,Televisions,Electrical items ,2,Electronics,20,E50,electrical items,33.38461538461539
46,5,Trimmers,Electrical items ,2,Electronics,8,E50,electrical items,33.38461538461539
47,5,Vacuum Cleaners,White Goods / Household items ,1,White goods,18,E50,white goods household items,53.333333333333336
48,5,VR Headsets,Electrical items ,2,Electronics,15,E50,electrical items,33.38461538461539
49,5,Washing Machines,White Goods / Household items ,1,White goods,3,E50,white goods household items,53.333333333333336
50,6,Air Conditioners,central heating,7,Air Heating & Cooling,1,E50,central heating,60.0
51,6,Air Purifiers,cleaning gadgets,10,Cleaning,3,E50,cleaning gadgets,42.857142857142854
52,6,Cameras,computer parts,4,Computers & Accessories,7,E50,computer parts,50.10526315789474
53,6,Chargers,phone accessories,8,Phones & Accessories,2,E50,phone accessories,35.0
54,6,Coffee Makers,kitchen gadgets,3,Kitchen,6,E50,kitchen gadgets,56.99404761904761
55,6,Computer Mice,computer parts,4,Computers & Accessories,6,E50,computer parts,50.10526315789474
56,6,Cookers,kitchen gadgets,3,Kitchen,7,E50,kitchen gadgets,56.99404761904761
57,6,Deep Fryers,kitchen gadgets,3,Kitchen,4,E50,kitchen gadgets,56.99404761904761
58,6,Desktop Computers,essential technology,12,Technology,2,E50,essential technology,56.666666666666664
59,6,Dishwashers,cleaning gadgets,10,Cleaning,4,E50,cleaning gadgets,42.857142857142854
60,6,Drones,gaming  and entertainment accessories and gadgets,11,Gadgets,4,E50,gaming and entertainment accessories and gadgets,57.05128205128205
61,6,E-Readers,gaming  and entertainment accessories and gadgets,11,Gadgets,6,E50,gaming and entertainment accessories and gadgets,57.05128205128205
62,6,Electric Kettles,kitchen gadgets,3,Kitchen,10,E50,kitchen gadgets,56.99404761904761
63,6,Electric Toothbrushes,hygiene and grooming gadgets,5,Hygiene,1,E50,hygiene and grooming gadgets,70.0
64,6,Fans,computer parts,4,Computers & Accessories,1,E50,computer parts,50.10526315789474
65,6,Freezers,kitchen gadgets,3,Kitchen,1,E50,kitchen gadgets,56.99404761904761
66,6,Fridges,kitchen gadgets,3,Kitchen,12,E50,kitchen gadgets,56.99404761904761
67,6,Gaming Consoles,gaming  and entertainment accessories and gadgets,11,Gadgets,2,E50,gaming and entertainment accessories and gadgets,57.05128205128205
68,6,Graphic Cards,computer parts,4,Computers & Accessories,4,E50,computer parts,50.10526315789474
69,6,Hair Dryers,hygiene and grooming gadgets,5,Hygiene,4,E50,hygiene and grooming gadgets,70.0
70,6,Headphones,Music gadgets,6,Music,2,E50,music gadgets,34.375
71,6,Hobs,kitchen gadgets,3,Kitchen,8,E50,kitchen gadgets,56.99404761904761
72,6,Irons,misc home appliances,9,Home/Household,1,E50,misc home appliances,26.804915514592935
73,6,Juicers,kitchen gadgets,3,Kitchen,2,E50,kitchen gadgets,56.99404761904761
74,6,Keyboards,computer parts,4,Computers & Accessories,5,E50,computer parts,50.10526315789474
75,6,Kitchen Scales,kitchen gadgets,3,Kitchen,11,E50,kitchen gadgets,56.99404761904761
76,6,Laptops,essential technology,12,Technology,3,E50,essential technology,56.666666666666664
77,6,Microphones,gaming  and entertainment accessories and gadgets,11,Gadgets,5,E50,gaming and entertainment accessories and gadgets,57.05128205128205
78,6,Microwave Ovens,kitchen gadgets,3,Kitchen,3,E50,kitchen gadgets,56.99404761904761
79,6,Monitors,computer parts,4,Computers & Accessories,3,E50,computer parts,50.10526315789474
80,6,Musical Instruments,Music gadgets,6,Music,4,E50,music gadgets,34.375
81,6,Ovens,kitchen gadgets,3,Kitchen,9,E50,kitchen gadgets,56.99404761904761
82,6,PC Games,gaming  and entertainment accessories and gadgets,11,Gadgets,1,E50,gaming and entertainment accessories and gadgets,57.05128205128205
83,6,Phone Cases,phone accessories,8,Phones & Accessories,1,E50,phone accessories,35.0
84,6,Printers,document technology,13,Technology,1,E50,document technology,56.666666666666664
85,6,Processors,computer parts,4,Computers & Accessories,2,E50,computer parts,50.10526315789474
86,6,Radiators,central heating,7,Air Heating & Cooling,2,E50,central heating,60.0
87,6,Radios,Music gadgets,6,Music,1,E50,music gadgets,34.375
88,6,Scanners,document technology,13,Technology,2,E50,document technology,56.666666666666664
89,6,Shavers,hygiene and grooming gadgets,5,Hygiene,2,E50,hygiene and grooming gadgets,70.0
90,6,Smart Watches,phone accessories,8,Phones & Accessories,3,E50,phone accessories,35.0
91,6,Smartphones,essential technology,12,Technology,1,E50,essential technology,56.666666666666664
92,6,Speakers,Music gadgets,6,Music,3,E50,music gadgets,34.375
93,6,Stand Mixers,kitchen gadgets,3,Kitchen,5,E50,kitchen gadgets,56.99404761904761
94,6,Tablets,essential technology,12,Technology,4,E50,essential technology,56.666666666666664
95,6,Televisions,essential technology,12,Technology,5,E50,essential technology,56.666666666666664
96,6,Trimmers,hygiene and grooming gadgets,5,Hygiene,3,E50,hygiene and grooming gadgets,70.0
97,6,Vacuum Cleaners,cleaning gadgets,10,Cleaning,1,E50,cleaning gadgets,42.857142857142854
98,6,VR Headsets,gaming  and entertainment accessories and gadgets,11,Gadgets,3,E50,gaming and entertainment accessories and gadgets,57.05128205128205
99,6,Washing Machines,cleaning gadgets,10,Cleaning,2,E50,cleaning gadgets,42.857142857142854
100,7,Air Conditioners,General Household Appliances,14,Home/Household,3,E50,general household appliances,26.804915514592935
101,7,Air Purifiers,General Household Appliances,14,Home/Household,7,E50,general household appliances,26.804915514592935
102,7,Cameras,Entertainment/Electronics,16,Entertainment,15,E50,entertainment electronics,43.103448275862064
103,7,Chargers,Misc.,17,Misc/Other,4,E50,misc,16.111111111111107
104,7,Coffee Makers,Kitchen Appliances,15,Kitchen,6,E50,kitchen appliances,56.99404761904761
105,7,Computer Mice,Entertainment/Electronics,16,Entertainment,2,E50,entertainment electronics,43.103448275862064
106,7,Cookers,Kitchen Appliances,15,Kitchen,4,E50,kitchen appliances,56.99404761904761
107,7,Deep Fryers,Kitchen Appliances,15,Kitchen,8,E50,kitchen appliances,56.99404761904761
108,7,Desktop Computers,Entertainment/Electronics,16,Entertainment,5,E50,entertainment electronics,43.103448275862064
109,7,Dishwashers,Kitchen Appliances,15,Kitchen,7,E50,kitchen appliances,56.99404761904761
110,7,Drones,Misc.,17,Misc/Other,3,E50,misc,16.111111111111107
111,7,E-Readers,Entertainment/Electronics,16,Entertainment,4,E50,entertainment electronics,43.103448275862064
112,7,Electric Kettles,Kitchen Appliances,15,Kitchen,12,E50,kitchen appliances,56.99404761904761
113,7,Electric Toothbrushes,General Household Appliances,14,Home/Household,5,E50,general household appliances,26.804915514592935
114,7,Fans,General Household Appliances,14,Home/Household,10,E50,general household appliances,26.804915514592935
115,7,Freezers,Kitchen Appliances,15,Kitchen,1,E50,kitchen appliances,56.99404761904761
116,7,Fridges,Kitchen Appliances,15,Kitchen,10,E50,kitchen appliances,56.99404761904761
117,7,Gaming Consoles,Entertainment/Electronics,16,Entertainment,7,E50,entertainment electronics,43.103448275862064
118,7,Graphic Cards,Misc.,17,Misc/Other,5,E50,misc,16.111111111111107
119,7,Hair Dryers,General Household Appliances,14,Home/Household,6,E50,general household appliances,26.804915514592935
120,7,Headphones,Entertainment/Electronics,16,Entertainment,1,E50,entertainment electronics,43.103448275862064
121,7,Hobs,Kitchen Appliances,15,Kitchen,3,E50,kitchen appliances,56.99404761904761
122,7,Irons,General Household Appliances,14,Home/Household,4,E50,general household appliances,26.804915514592935
123,7,Juicers,General Household Appliances,14,Home/Household,2,E50,general household appliances,26.804915514592935
124,7,Keyboards,Entertainment/Electronics,16,Entertainment,14,E50,entertainment electronics,43.103448275862064
125,7,Kitchen Scales,Kitchen Appliances,15,Kitchen,9,E50,kitchen appliances,56.99404761904761
126,7,Laptops,Entertainment/Electronics,16,Entertainment,10,E50,entertainment electronics,43.103448275862064
127,7,Microphones,Entertainment/Electronics,16,Entertainment,11,E50,entertainment electronics,43.103448275862064
128,7,Microwave Ovens,Kitchen Appliances,15,Kitchen,5,E50,kitchen appliances,56.99404761904761
129,7,Monitors,Entertainment/Electronics,16,Entertainment,9,E50,entertainment electronics,43.103448275862064
130,7,Musical Instruments,Entertainment/Electronics,16,Entertainment,3,E50,entertainment electronics,43.103448275862064
131,7,Ovens,Kitchen Appliances,15,Kitchen,2,E50,kitchen appliances,56.99404761904761
132,7,PC Games,Entertainment/Electronics,16,Entertainment,13,E50,entertainment electronics,43.103448275862064
133,7,Phone Cases,Misc.,17,Misc/Other,1,E50,misc,16.111111111111107
134,7,Printers,Entertainment/Electronics,16,Entertainment,12,E50,entertainment electronics,43.103448275862064
135,7,Processors,Misc.,17,Misc/Other,2,E50,misc,16.111111111111107
136,7,Radiators,General Household Appliances,14,Home/Household,11,E50,general household appliances,26.804915514592935
137,7,Radios,Entertainment/Electronics,16,Entertainment,6,E50,entertainment electronics,43.103448275862064
138,7,Scanners,Entertainment/Electronics,16,Entertainment,8,E50,entertainment electronics,43.103448275862064
139,7,Shavers,General Household Appliances,14,Home/Household,8,E50,general household appliances,26.804915514592935
140,7,Smart Watches,Entertainment/Electronics,16,Entertainment,18,E50,entertainment electronics,43.103448275862064
141,7,Smartphones,Misc.,17,Misc/Other,6,E50,misc,16.111111111111107
142,7,Speakers,Entertainment/Electronics,16,Entertainment,16,E50,entertainment electronics,43.103448275862064
143,7,Stand Mixers,Kitchen Appliances,15,Kitchen,11,E50,kitchen appliances,56.99404761904761
144,7,Tablets,Entertainment/Electronics,16,Entertainment,17,E50,entertainment electronics,43.103448275862064
145,7,Televisions,Entertainment/Electronics,16,Entertainment,20,E50,entertainment electronics,43.103448275862064
146,7,Trimmers,General Household Appliances,14,Home/Household,9,E50,general household appliances,26.804915514592935
147,7,Vacuum Cleaners,General Household Appliances,14,Home/Household,1,E50,general household appliances,26.804915514592935
148,7,VR Headsets,Entertainment/Electronics,16,Entertainment,19,E50,entertainment electronics,43.103448275862064
149,7,Washing Machines,General Household Appliances,14,Home/Household,12,E50,general household appliances,26.804915514592935
150,8,Air Conditioners,Body Care,23,Care,2,E50,body care,50.0
151,8,Air Purifiers,Electronics,22,Electronics,16,E50,electronics,33.38461538461539
152,8,Cameras,Electronics,22,Electronics,23,E50,electronics,33.38461538461539
153,8,Chargers,Electronics,22,Electronics,4,E50,electronics,33.38461538461539
154,8,Coffee Makers,Kitchen Equipment,18,Kitchen,3,E50,kitchen equipment,56.99404761904761
155,8,Computer Mice,Electronics,22,Electronics,3,E50,electronics,33.38461538461539
156,8,Cookers,Kitchen Equipment,18,Kitchen,2,E50,kitchen equipment,56.99404761904761
157,8,Deep Fryers,Kitchen Equipment,18,Kitchen,9,E50,kitchen equipment,56.99404761904761
158,8,Desktop Computers,Electronics,22,Electronics,14,E50,electronics,33.38461538461539
159,8,Dishwashers,Kitchen Electronics,24,Kitchen,3,E50,kitchen electronics,56.99404761904761
160,8,Drones,Electronics,22,Electronics,9,E50,electronics,33.38461538461539
161,8,E-Readers,Electronics,22,Electronics,2,E50,electronics,33.38461538461539
162,8,Electric Kettles,Kitchen Equipment,18,Kitchen,8,E50,kitchen equipment,56.99404761904761
163,8,Electric Toothbrushes,Hygiene,21,Hygiene,1,E50,hygiene,70.0
164,8,Fans,Electronics,22,Electronics,6,E50,electronics,33.38461538461539
165,8,Freezers,Kitchen Electronics,24,Kitchen,2,E50,kitchen electronics,56.99404761904761
166,8,Fridges,Kitchen Electronics,24,Kitchen,1,E50,kitchen electronics,56.99404761904761
167,8,Gaming Consoles,Electronics,22,Electronics,12,E50,electronics,33.38461538461539
168,8,Graphic Cards,Electronics,22,Electronics,7,E50,electronics,33.38461538461539
169,8,Hair Dryers,Body Care,23,Care,1,E50,body care,50.0
170,8,Headphones,Electronics,22,Electronics,27,E50,electronics,33.38461538461539
171,8,Hobs,Extra,26,Misc/Other,1,E50,extra,16.111111111111107
172,8,Irons,Electronics,22,Electronics,21,E50,electronics,33.38461538461539
173,8,Juicers,Kitchen Equipment,18,Kitchen,6,E50,kitchen equipment,56.99404761904761
174,8,Keyboards,Electronics,22,Electronics,8,E50,electronics,33.38461538461539
175,8,Kitchen Scales,Kitchen Equipment,18,Kitchen,1,E50,kitchen equipment,56.99404761904761
176,8,Laptops,Electronics,22,Electronics,22,E50,electronics,33.38461538461539
177,8,Microphones,Electronics,22,Electronics,11,E50,electronics,33.38461538461539
178,8,Microwave Ovens,Kitchen Equipment,18,Kitchen,4,E50,kitchen equipment,56.99404761904761
179,8,Monitors,Electronics,22,Electronics,26,E50,electronics,33.38461538461539
180,8,Musical Instruments,Electronics,22,Electronics,25,E50,electronics,33.38461538461539
181,8,Ovens,Kitchen Equipment,18,Kitchen,5,E50,kitchen equipment,56.99404761904761
182,8,PC Games,Electronics,22,Electronics,18,E50,electronics,33.38461538461539
183,8,Phone Cases,Electronics,22,Electronics,1,E50,electronics,33.38461538461539
184,8,Printers,Electronics,22,Electronics,10,E50,electronics,33.38461538461539
185,8,Processors,Mechanical Devices,25,Mechanical Devices,1,E50,mechanical devices,
186,8,Radiators,Mechanical Devices,25,Mechanical Devices,2,E50,mechanical devices,
187,8,Radios,Sound,19,Audio,3,E50,sound,48.0
188,8,Scanners,Electronics,22,Electronics,24,E50,electronics,33.38461538461539
189,8,Shavers,Electronics,22,Electronics,5,E50,electronics,33.38461538461539
190,8,Smart Watches,Kitchen Equipment,18,Kitchen,7,E50,kitchen equipment,56.99404761904761
191,8,Smartphones,Electronics,22,Electronics,17,E50,electronics,33.38461538461539
192,8,Speakers,Sound,19,Audio,1,E50,sound,48.0
193,8,Stand Mixers,Sound,19,Audio,2,E50,sound,48.0
194,8,Tablets,Electronics,22,Electronics,13,E50,electronics,33.38461538461539
195,8,Televisions,Electronics,22,Electronics,15,E50,electronics,33.38461538461539
196,8,Trimmers,Electronics,22,Electronics,20,E50,electronics,33.38461538461539
197,8,Vacuum Cleaners,Cleaning,20,Cleaning,2,E50,cleaning,42.857142857142854
198,8,VR Headsets,Electronics,22,Electronics,19,E50,electronics,33.38461538461539
199,8,Washing Machines,Cleaning,20,Cleaning,1,E50,cleaning,42.857142857142854
200,10,Air Conditioners,environment maintainers,31,Air Heating & Cooling,2,E50,environment maintainers,60.0
201,10,Air Purifiers,environment maintainers,31,Air Heating & Cooling,1,E50,environment maintainers,60.0
202,10,Cameras,electronics,28,Electronics,9,E50,electronics,33.38461538461539
203,10,Chargers,electronics,28,Electronics,4,E50,electronics,33.38461538461539
204,10,Coffee Makers,office appliances,32,Office,2,E50,office appliances,42.857142857142854
205,10,Computer Mice,electronics,28,Electronics,3,E50,electronics,33.38461538461539
206,10,Cookers,kitchen appliance,27,Kitchen,1,E50,kitchen appliance,56.99404761904761
207,10,Deep Fryers,kitchen appliance,27,Kitchen,6,E50,kitchen appliance,56.99404761904761
208,10,Desktop Computers,electronics,28,Electronics,15,E50,electronics,33.38461538461539
209,10,Dishwashers,kitchen appliance,27,Kitchen,4,E50,kitchen appliance,56.99404761904761
210,10,Drones,electronics,28,Electronics,2,E50,electronics,33.38461538461539
211,10,E-Readers,electronics,28,Electronics,12,E50,electronics,33.38461538461539
212,10,Electric Kettles,kitchen appliance,27,Kitchen,8,E50,kitchen appliance,56.99404761904761
213,10,Electric Toothbrushes,hygiene,29,Hygiene,3,E50,hygiene,70.0
214,10,Fans,environment maintainers,31,Air Heating & Cooling,5,E50,environment maintainers,60.0
215,10,Freezers,kitchen appliance,27,Kitchen,11,E50,kitchen appliance,56.99404761904761
216,10,Fridges,kitchen appliance,27,Kitchen,7,E50,kitchen appliance,56.99404761904761
217,10,Gaming Consoles,electronics,28,Electronics,7,E50,electronics,33.38461538461539
218,10,Graphic Cards,PC components,30,Computers & Accessories,3,E50,pc components,50.10526315789474
219,10,Hair Dryers,hygiene,29,Hygiene,2,E50,hygiene,70.0
220,10,Headphones,PC components,30,Computers & Accessories,5,E50,pc components,50.10526315789474
221,10,Hobs,kitchen appliance,27,Kitchen,10,E50,kitchen appliance,56.99404761904761
222,10,Irons,hygiene,29,Hygiene,5,E50,hygiene,70.0
223,10,Juicers,kitchen appliance,27,Kitchen,9,E50,kitchen appliance,56.99404761904761
224,10,Keyboards,electronics,28,Electronics,10,E50,electronics,33.38461538461539
225,10,Kitchen Scales,kitchen appliance,27,Kitchen,13,E50,kitchen appliance,56.99404761904761
226,10,Laptops,electronics,28,Electronics,13,E50,electronics,33.38461538461539
227,10,Microphones,electronics,28,Electronics,8,E50,electronics,33.38461538461539
228,10,Microwave Ovens,kitchen appliance,27,Kitchen,2,E50,kitchen appliance,56.99404761904761
229,10,Monitors,PC components,30,Computers & Accessories,4,E50,pc components,50.10526315789474
230,10,Musical Instruments,miscellaneous,33,Misc/Other,1,E50,miscellaneous,16.111111111111107
231,10,Ovens,kitchen appliance,27,Kitchen,5,E50,kitchen appliance,56.99404761904761
232,10,PC Games,PC components,30,Computers & Accessories,2,E50,pc components,50.10526315789474
233,10,Phone Cases,electronics,28,Electronics,5,E50,electronics,33.38461538461539
234,10,Printers,office appliances,32,Office,3,E50,office appliances,42.857142857142854
235,10,Processors,PC components,30,Computers & Accessories,1,E50,pc components,50.10526315789474
236,10,Radiators,environment maintainers,31,Air Heating & Cooling,3,E50,environment maintainers,60.0
237,10,Radios,electronics,28,Electronics,6,E50,electronics,33.38461538461539
238,10,Scanners,office appliances,32,Office,1,E50,office appliances,42.857142857142854
239,10,Shavers,hygiene,29,Hygiene,4,E50,hygiene,70.0
240,10,Smart Watches,electronics,28,Electronics,18,E50,electronics,33.38461538461539
241,10,Smartphones,electronics,28,Electronics,1,E50,electronics,33.38461538461539
242,10,Speakers,electronics,28,Electronics,14,E50,electronics,33.38461538461539
243,10,Stand Mixers,kitchen appliance,27,Kitchen,3,E50,kitchen appliance,56.99404761904761
244,10,Tablets,electronics,28,Electronics,17,E50,electronics,33.38461538461539
245,10,Televisions,electronics,28,Electronics,16,E50,electronics,33.38461538461539
246,10,Trimmers,hygiene,29,Hygiene,1,E50,hygiene,70.0
247,10,Vacuum Cleaners,environment maintainers,31,Air Heating & Cooling,4,E50,environment maintainers,60.0
248,10,VR Headsets,electronics,28,Electronics,11,E50,electronics,33.38461538461539
249,10,Washing Machines,kitchen appliance,27,Kitchen,12,E50,kitchen appliance,56.99404761904761
250,11,Air Conditioners,House Machines,40,Home/Household,4,E50,house machines,26.804915514592935
251,11,Air Purifiers,Other Handy Equipment,37,Misc/Other,3,E50,other handy equipment,16.111111111111107
252,11,Cameras,Gadgets,34,Gadgets,18,E50,gadgets,57.05128205128205
253,11,Chargers,Gadgets,34,Gadgets,6,E50,gadgets,57.05128205128205
254,11,Coffee Makers,Kitchen Machines,39,Kitchen,6,E50,kitchen machines,56.99404761904761
255,11,Computer Mice,Gadgets,34,Gadgets,15,E50,gadgets,57.05128205128205
256,11,Cookers,Kitchen Machines,39,Kitchen,1,E50,kitchen machines,56.99404761904761
257,11,Deep Fryers,Kitchen Machines,39,Kitchen,10,E50,kitchen machines,56.99404761904761
258,11,Desktop Computers,Gadgets,34,Gadgets,11,E50,gadgets,57.05128205128205
259,11,Dishwashers,Kitchen Machines,39,Kitchen,11,E50,kitchen machines,56.99404761904761
260,11,Drones,Gadgets,34,Gadgets,9,E50,gadgets,57.05128205128205
261,11,E-Readers,Other Handy Equipment,37,Misc/Other,4,E50,other handy equipment,16.111111111111107
262,11,Electric Kettles,Kitchen Machines,39,Kitchen,3,E50,kitchen machines,56.99404761904761
263,11,Electric Toothbrushes,Self Care Equipments,36,Care,2,E50,self care equipments,50.0
264,11,Fans,Other Handy Equipment,37,Misc/Other,1,E50,other handy equipment,16.111111111111107
265,11,Freezers,House Machines,40,Home/Household,6,E50,house machines,26.804915514592935
266,11,Fridges,House Machines,40,Home/Household,2,E50,house machines,26.804915514592935
267,11,Gaming Consoles,Gadgets,34,Gadgets,14,E50,gadgets,57.05128205128205
268,11,Graphic Cards,Gadgets,34,Gadgets,16,E50,gadgets,57.05128205128205
269,11,Hair Dryers,Other Handy Equipment,37,Misc/Other,5,E50,other handy equipment,16.111111111111107
270,11,Headphones,Gadgets,34,Gadgets,2,E50,gadgets,57.05128205128205
271,11,Hobs,Kitchen Machines,39,Kitchen,5,E50,kitchen machines,56.99404761904761
272,11,Irons,Kitchen Machines,39,Kitchen,9,E50,kitchen machines,56.99404761904761
273,11,Juicers,Kitchen Machines,39,Kitchen,2,E50,kitchen machines,56.99404761904761
274,11,Keyboards,Gadgets,34,Gadgets,4,E50,gadgets,57.05128205128205
275,11,Kitchen Scales,Kitchen Machines,39,Kitchen,8,E50,kitchen machines,56.99404761904761
276,11,Laptops,Gadgets,34,Gadgets,3,E50,gadgets,57.05128205128205
277,11,Microphones,Gadgets,34,Gadgets,10,E50,gadgets,57.05128205128205
278,11,Microwave Ovens,Kitchen Machines,39,Kitchen,4,E50,kitchen machines,56.99404761904761
279,11,Monitors,Gadgets,34,Gadgets,17,E50,gadgets,57.05128205128205
280,11,Musical Instruments,Music,38,Music,1,E50,music,34.375
281,11,Ovens,Kitchen Machines,39,Kitchen,7,E50,kitchen machines,56.99404761904761
282,11,PC Games,Gadgets,34,Gadgets,20,E50,gadgets,57.05128205128205
283,11,Phone Cases,Gadgets,34,Gadgets,8,E50,gadgets,57.05128205128205
284,11,Printers,Office Equipment,35,Office,3,E50,office equipment,42.857142857142854
285,11,Processors,Gadgets,34,Gadgets,7,E50,gadgets,57.05128205128205
286,11,Radiators,House Machines,40,Home/Household,1,E50,house machines,26.804915514592935
287,11,Radios,Office Equipment,35,Office,2,E50,office equipment,42.857142857142854
288,11,Scanners,Office Equipment,35,Office,4,E50,office equipment,42.857142857142854
289,11,Shavers,Self Care Equipments,36,Care,1,E50,self care equipments,50.0
290,11,Smart Watches,Gadgets,34,Gadgets,1,E50,gadgets,57.05128205128205
291,11,Smartphones,Gadgets,34,Gadgets,12,E50,gadgets,57.05128205128205
292,11,Speakers,Gadgets,34,Gadgets,19,E50,gadgets,57.05128205128205
293,11,Stand Mixers,Other Handy Equipment,37,Misc/Other,2,E50,other handy equipment,16.111111111111107
294,11,Tablets,Gadgets,34,Gadgets,5,E50,gadgets,57.05128205128205
295,11,Televisions,Office Equipment,35,Office,1,E50,office equipment,42.857142857142854
296,11,Trimmers,Other Handy Equipment,37,Misc/Other,6,E50,other handy equipment,16.111111111111107
297,11,Vacuum Cleaners,House Machines,40,Home/Household,5,E50,house machines,26.804915514592935
298,11,VR Headsets,Gadgets,34,Gadgets,13,E50,gadgets,57.05128205128205
299,11,Washing Machines,House Machines,40,Home/Household,3,E50,house machines,26.804915514592935
300,12,Air Conditioners,House,43,Home/Household,6,E50,house,26.804915514592935
301,12,Air Purifiers,House,43,Home/Household,2,E50,house,26.804915514592935
302,12,Cameras,Electronics,41,Electronics,17,E50,electronics,33.38461538461539
303,12,Chargers,Electronics,41,Electronics,6,E50,electronics,33.38461538461539
304,12,Coffee Makers,Kitchen,42,Kitchen,7,E50,kitchen,56.99404761904761
305,12,Computer Mice,Office,45,Office,4,E50,office,42.857142857142854
306,12,Cookers,Kitchen,42,Kitchen,3,E50,kitchen,56.99404761904761
307,12,Deep Fryers,Kitchen,42,Kitchen,5,E50,kitchen,56.99404761904761
308,12,Desktop Computers,Electronics,41,Electronics,4,E50,electronics,33.38461538461539
309,12,Dishwashers,Kitchen,42,Kitchen,4,E50,kitchen,56.99404761904761
310,12,Drones,Electronics,41,Electronics,1,E50,electronics,33.38461538461539
311,12,E-Readers,Electronics,41,Electronics,2,E50,electronics,33.38461538461539
312,12,Electric Kettles,Kitchen,42,Kitchen,8,E50,kitchen,56.99404761904761
313,12,Electric Toothbrushes,Personal Care,44,Care,4,E50,personal care,50.0
314,12,Fans,House,43,Home/Household,5,E50,house,26.804915514592935
315,12,Freezers,Kitchen,42,Kitchen,13,E50,kitchen,56.99404761904761
