,Account Statements,Balance Transfer,Bereavement Support,Bonds,Budgeting Tools and Resources,Car Insurance Renewal,Cardless Cash Withdrawal,Cheque Payments,Claims,Credit Score,Current Accounts,Daily Savings,Data and Privacy Control,Debit Cards,Debt Management Services,Digital Confidence,Financial Assistance,Financial Education Webinars,Fixed Deposit,Fixed Term Savings,Fixed-rate Credit Card,Fraud Alerts and Monitoring,Fund Performance,Google/Apple Pay,Insurance Coverage Calculator,Interest Rates,International Payments,International Trading,Investment Accounts,ISA Accounts,Life Insurance Coverage,Mobile Banking App,Mortgage Calculator,Mortgage Rates,Online Purchases,Other Borrowing Options,Overdraft Protection,Personal Loan Calculator,Personal Pension,Personalised Financial Advice,Remortgage Options,Retirement Planning Calculator,Rewards Programme,Savings Options,Self-Invested Personal Pension (SIPP),Stock Trading and Shares,Student account,Student Loan Repayment,Travel Insurance,Trustee Banking
Mobile Banking App,47.5,37.5,7.5,5.0,15.0,10.0,57.49999999999999,52.5,10.0,25.0,40.0,22.5,22.5,45.0,10.0,12.5,10.0,12.5,15.0,15.0,30.0,20.0,2.5,67.5,10.0,7.5,45.0,12.5,7.5,12.5,2.5,0.0,10.0,2.5,57.49999999999999,10.0,30.0,22.5,5.0,20.0,7.5,10.0,27.500000000000004,12.5,7.5,2.5,25.0,17.5,2.5,25.0
Mortgage Calculator,12.5,5.0,15.0,5.0,35.0,5.0,5.0,0.0,15.0,27.500000000000004,0.0,2.5,10.0,0.0,30.0,12.5,27.500000000000004,25.0,15.0,7.5,12.5,20.0,7.5,5.0,42.5,35.0,2.5,7.5,0.0,5.0,7.5,10.0,0.0,60.0,2.5,30.0,22.5,62.5,5.0,25.0,57.49999999999999,45.0,5.0,10.0,5.0,5.0,0.0,15.0,7.5,5.0
Mortgage Rates,2.5,7.5,10.0,7.5,12.5,5.0,5.0,0.0,5.0,20.0,2.5,0.0,10.0,0.0,27.500000000000004,12.5,20.0,10.0,20.0,7.5,20.0,5.0,15.0,5.0,15.0,40.0,5.0,10.0,2.5,7.5,7.5,2.5,60.0,0.0,5.0,47.5,22.5,27.500000000000004,2.5,15.0,75.0,15.0,7.5,10.0,5.0,7.5,0.0,22.5,10.0,5.0
Online Purchases,45.0,42.5,17.5,5.0,7.5,20.0,67.5,55.00000000000001,20.0,25.0,40.0,27.500000000000004,22.5,45.0,12.5,12.5,12.5,15.0,12.5,10.0,20.0,22.5,2.5,67.5,2.5,7.5,55.00000000000001,20.0,7.5,10.0,7.5,57.49999999999999,2.5,5.0,0.0,22.5,27.500000000000004,12.5,2.5,15.0,12.5,2.5,30.0,15.0,2.5,5.0,22.5,32.5,10.0,15.0
Other Borrowing Options,15.0,25.0,20.0,10.0,17.5,17.5,12.5,12.5,22.5,27.500000000000004,12.5,7.5,15.0,12.5,47.5,12.5,37.5,15.0,12.5,15.0,40.0,10.0,5.0,10.0,7.5,27.500000000000004,12.5,7.5,5.0,5.0,12.5,10.0,30.0,47.5,22.5,0.0,32.5,37.5,10.0,27.500000000000004,57.49999999999999,10.0,12.5,15.0,7.5,5.0,12.5,37.5,20.0,12.5
Overdraft Protection,30.0,35.0,35.0,2.5,30.0,10.0,35.0,30.0,20.0,32.5,25.0,15.0,40.0,27.500000000000004,55.00000000000001,25.0,40.0,22.5,12.5,17.5,27.500000000000004,35.0,15.0,25.0,22.5,32.5,22.5,12.5,5.0,12.5,10.0,30.0,22.5,22.5,27.500000000000004,32.5,0.0,35.0,0.0,27.500000000000004,30.0,17.5,30.0,15.0,2.5,5.0,25.0,22.5,17.5,27.500000000000004
Personal Loan Calculator,30.0,17.5,15.0,7.5,42.5,7.5,15.0,12.5,17.5,47.5,17.5,12.5,10.0,15.0,47.5,15.0,37.5,27.500000000000004,15.0,17.5,25.0,22.5,7.5,15.0,40.0,42.5,15.0,7.5,5.0,7.5,12.5,22.5,62.5,27.500000000000004,12.5,37.5,35.0,0.0,7.5,30.0,30.0,45.0,15.0,12.5,10.0,7.5,10.0,27.500000000000004,7.5,15.0
Personal Pension,12.5,10.0,15.0,45.0,5.0,2.5,5.0,10.0,10.0,5.0,22.5,30.0,2.5,12.5,7.5,2.5,5.0,7.5,32.5,37.5,12.5,2.5,30.0,7.5,0.0,7.5,7.5,22.5,47.5,32.5,10.0,5.0,5.0,2.5,2.5,10.0,0.0,7.5,0.0,7.5,5.0,45.0,5.0,30.0,80.0,35.0,22.5,5.0,5.0,22.5
Personalised Financial Advice,25.0,10.0,50.0,7.5,60.0,7.5,12.5,12.5,25.0,22.5,7.5,7.5,30.0,7.5,37.5,35.0,45.0,67.5,7.5,12.5,15.0,30.0,10.0,12.5,17.5,17.5,15.0,12.5,7.5,7.5,12.5,20.0,25.0,15.0,15.0,27.500000000000004,27.500000000000004,30.0,7.5,0.0,22.5,30.0,25.0,15.0,10.0,7.5,7.5,12.5,10.0,7.5
Remortgage Options,10.0,12.5,17.5,10.0,20.0,12.5,7.5,2.5,15.0,32.5,5.0,2.5,15.0,7.5,40.0,10.0,30.0,15.0,22.5,10.0,30.0,17.5,10.0,7.5,12.5,25.0,5.0,10.0,5.0,10.0,7.5,7.5,57.49999999999999,75.0,12.5,57.49999999999999,30.0,30.0,5.0,22.5,0.0,15.0,17.5,17.5,7.5,5.0,5.0,30.0,17.5,10.0
Retirement Planning Calculator,17.5,2.5,22.5,22.5,32.5,5.0,7.5,2.5,12.5,20.0,2.5,12.5,12.5,2.5,20.0,15.0,17.5,30.0,12.5,10.0,7.5,20.0,22.5,5.0,42.5,22.5,5.0,15.0,17.5,10.0,15.0,10.0,45.0,15.0,2.5,10.0,17.5,45.0,45.0,30.0,15.0,0.0,12.5,17.5,40.0,22.5,2.5,10.0,7.5,10.0
Rewards Programme,42.5,30.0,27.500000000000004,12.5,17.5,5.0,35.0,32.5,15.0,27.500000000000004,35.0,25.0,37.5,32.5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,27.500000000000004,20.0,27.500000000000004,10.0,12.5,22.5,17.5,10.0,15.0,5.0,27.500000000000004,5.0,7.5,30.0,12.5,30.0,15.0,5.0,25.0,17.5,12.5,0.0,22.5,7.5,15.0,25.0,15.0,10.0,30.0
Savings Options,25.0,15.0,12.5,40.0,10.0,10.0,15.0,12.5,15.0,20.0,25.0,60.0,12.5,20.0,10.0,10.0,10.0,7.5,42.5,62.5,17.5,7.5,27.500000000000004,12.5,2.5,32.5,12.5,27.500000000000004,42.5,45.0,2.5,12.5,10.0,10.0,15.0,15.0,15.0,12.5,30.0,15.0,17.5,17.5,22.5,0.0,35.0,32.5,22.5,10.0,7.5,27.500000000000004
Self-Invested Personal Pension (SIPP),10.0,7.5,15.0,52.5,5.0,5.0,5.0,5.0,7.5,5.0,20.0,37.5,2.5,10.0,7.5,5.0,5.0,5.0,32.5,45.0,15.0,2.5,35.0,5.0,0.0,5.0,7.5,35.0,57.49999999999999,42.5,12.5,7.5,5.0,5.0,2.5,7.5,2.5,10.0,80.0,10.0,7.5,40.0,7.5,35.0,0.0,47.5,20.0,10.0,7.5,27.500000000000004
Stock Trading and Shares,12.5,7.5,5.0,85.0,5.0,5.0,10.0,5.0,10.0,2.5,12.5,40.0,5.0,2.5,2.5,7.5,0.0,7.5,25.0,37.5,2.5,0.0,62.5,5.0,7.5,15.0,15.0,77.5,72.5,50.0,10.0,2.5,5.0,7.5,5.0,5.0,5.0,7.5,35.0,7.5,5.0,22.5,15.0,32.5,47.5,0.0,10.0,7.5,7.5,17.5
Student account,37.5,35.0,10.0,15.0,10.0,7.5,20.0,35.0,15.0,10.0,72.5,25.0,20.0,47.5,15.0,7.5,7.5,7.5,20.0,30.0,25.0,10.0,10.0,22.5,7.5,7.5,32.5,7.5,22.5,37.5,7.5,25.0,0.0,0.0,22.5,12.5,25.0,10.0,22.5,7.5,5.0,2.5,25.0,22.5,20.0,10.0,0.0,35.0,15.0,37.5
Student Loan Repayment,15.0,30.0,22.5,7.5,15.0,17.5,22.5,30.0,15.0,35.0,25.0,5.0,15.0,22.5,40.0,10.0,30.0,17.5,10.0,7.5,27.500000000000004,17.5,5.0,15.0,2.5,15.0,32.5,15.0,5.0,15.0,10.0,17.5,15.0,22.5,32.5,37.5,22.5,27.500000000000004,5.0,12.5,30.0,10.0,15.0,10.0,10.0,7.5,35.0,0.0,7.5,15.0
Travel Insurance,2.5,12.5,17.5,5.0,10.0,80.0,10.0,5.0,37.5,5.0,10.0,10.0,10.0,10.0,12.5,7.5,10.0,10.0,7.5,10.0,10.0,7.5,2.5,5.0,57.49999999999999,10.0,12.5,10.0,5.0,12.5,77.5,2.5,7.5,10.0,10.0,20.0,17.5,7.5,5.0,10.0,17.5,7.5,10.0,7.5,7.5,7.5,15.0,7.5,0.0,10.0
Trustee Banking,25.0,30.0,12.5,20.0,2.5,5.0,20.0,37.5,10.0,15.0,40.0,25.0,20.0,40.0,15.0,10.0,10.0,2.5,22.5,32.5,27.500000000000004,12.5,17.5,12.5,5.0,7.5,27.500000000000004,25.0,20.0,27.500000000000004,10.0,25.0,5.0,5.0,15.0,12.5,27.500000000000004,15.0,22.5,7.5,10.0,10.0,30.0,27.500000000000004,27.500000000000004,17.5,37.5,15.0,10.0,0.0
